nivel	volumen
0.0	0.1
0.001	32.000
0.002	64.000
0.003	96.000
0.004	128.000
0.005	160.000
0.006	192.000
0.007	224.000
0.008	256.000
0.009	288.000
0.010	318.000
0.011	350.000
0.012	382.000
0.013	414.000
0.014	446.000
0.015	478.000
0.016	510.000
0.017	542.000
0.018	574.000
0.019	606.000
0.020	637.000
0.021	669.000
0.022	701.000
0.023	733.000
0.024	765.000
0.025	797.000
0.026	829.000
0.027	861.000
0.028	893.000
0.029	925.000
0.030	955.000
0.031	987.000
0.032	1019.000
0.033	1051.000
0.034	1083.000
0.035	1115.000
0.036	1147.000
0.037	1179.000
0.038	1211.000
0.039	1243.000
0.040	1274.000
0.041	1306.000
0.042	1338.000
0.043	1370.000
0.044	1402.000
0.045	1434.000
0.046	1466.000
0.047	1498.000
0.048	1530.000
0.049	1562.000
0.050	1592.000
