nivel	volumen
0	10
0,001	42
0,002	74
0,003	106
0,004	138
0,005	170
0,006	202
0,007	234
0,008	266
0,009	298
0,01	328
0,011	360
0,012	392
0,013	424
0,014	456
0,015	488
0,016	520
0,017	552
0,018	584
0,019	616
0,02	646
0,021	678
0,022	710
0,023	742
0,024	774
0,025	806
0,026	838
0,027	870
0,028	902
0,029	934
0,03	964
0,031	996
0,032	1028
0,033	1060
0,034	1092
0,035	1124
0,036	1156
0,037	1188
0,038	1220
0,039	1252
0,04	1282
0,041	1314
0,042	1346
0,043	1378
0,044	1410
0,045	1442
0,046	1474
0,047	1506
0,048	1538
0,049	1570
0,05	406
0,051	438
0,052	470
0,053	502
0,054	534
0,055	566
0,056	598
0,057	630
0,058	662
0,059	694
0,06	724
0,061	756
0,062	788
0,063	820
0,064	852
0,065	884
0,066	916
0,067	948
0,068	980
0,069	1012
0,07	1042
0,071	1074
0,072	1106
0,073	1138
0,074	1170
0,075	1202
0,076	1234
0,077	1266
0,078	1298
0,079	1330
0,08	1360
0,081	1392
0,082	1424
0,083	1456
0,084	1488
0,085	1520
0,086	1552
0,087	1584
0,088	1616
0,089	1648
0,09	1678
0,091	1710
0,092	1742
0,093	1774
0,094	1806
0,095	1838
0,096	1870
0,097	1902
0,098	1934
